Column1;Column2;Column3
Rahar Setiawan;2 months ago;This place is very nice, wonderful and amazing, but it's need direction about the visitor may out of the objek zone
Ridwan Muharam;2 years ago;You will find anything for your kids here (animal, museum, experience). Needs about 3 hours to discover this place
David Vincent;4 months ago;Good place. There is new eco green park, it has a lot of new things. Drive thru park also new and we can go with our car, approx 30mins full.
Dwi Putranto;5 years ago;We visited Batu Secret Zoo and met many kind of animal. Giant mouse, birds, monkeys, big cats, girraffe, rhinos, elephants, deers, buffalos, etc. This place is really natural & has fresh air. We're really enjoyed the nature and the …
Erick Iskandar;5 years ago;The zoo has wide variety of animals. It really great place for family vacation and for everyone who want to learn more about animals kingdom. The canteen has standard taste of food
himawan d' mbambesh;5 years ago;Great place for your family holiday.  Jatim Park 2 has 2 places: Batu secret Zoo and Museum Satwa. The first one like a Zoo,  but with extra entertainment in it.  It has so many kind animals,  you will be stunned by the variousity of the …
Sherin Christy Likawidjaya;6 years ago;Great place to spend time with family. Very educational. This place have a wide range variety of animals such as monkeys, big cats, fishes, snakes, birds, etc.
Muhammad Ansari Qhisti Wicaksono;6 years ago;Great place to learn, play, and enjoy your holiday. There's 3 awesome location you can visit. …
Kelvin Tenggara;4 years ago;Very special place for children family or if you want just dating..you can go to museum satwA, batu secret zoo and eco green park in this area
Sun Lie Lie;4 years ago;Great place for family outing. There's a lot for the kids to see and learn. It's a big place, you can spend hours exploring.
Ima;4 years ago;This place is basically a zoo with not-so-mini amusement park. Perfect for family vacation especially for kids. The facilities are quite complete. Food vendor is literally everywhere. Musholla is good and clean.
Chrisna Adi;4 years ago;i love the museum, a lot of type of animals in their actual size..the zoo is fantastis, their collections is amazing..best place to teach your kids about animals
Alifta Tata;4 years ago;very easy to get to. nice parking place. nice restaurant with best view. amazing kind of animals. family place and loved this place❤💙💜💚💛 …
Vivi Setiawan;4 years ago;The most loving thing I had here was when I took pic with the black lemur, though it slept all along the pic-takings coz lemurs are night animals -_*
hendrik kuncoro;5 years ago;There are museum satwa with a lot of information about animals there, batu secret zoo where you can ask your children to get there and see the varieties of animals or even playing a game centre and it's for free which is you only need to …
Igel Zibriel;5 years ago;This zoo does not only present the animal in international standard but it's keep innovate on landscaping,  run the animal show,  setting the cage, provide entertainment amusement and engage with visitor. Jatimpark2 zoo I can proud of as Indonesian
isco iscoyevic;4 months ago;Skooter can be rent at the end. Would be better if it can be rent in the beginning. Food was terrible. Parking area was also too far
don pedro;5 years ago;"Great Parks!!!
It divided by 3 big element. There are Museum Satwa, Batu Secret Zoo, and Eco Green Park. …"
Isnainiin;a year ago;Very complete vacation spot, there are museums, rides for games and a zoo
Ulet Natalius;5 years ago;A zoo adjacent to the Jatim Park 2 complex in Batu. The area is clean, neat, and the animals are taken care of very well. There are primates, reptiles, marine animals, savannah animals, big cats, and elephants! …
Frank Nevarez;a year ago;great place to visit and spend the day with family just people smoking around it's not good not healthy but other than that it's a good place smoking should not be allowed in this beautiful place.
Yohanes I.;4 years ago;Very informative place, consist of multiple venue like Eco Green Park, Zoo, Museum. This place is ao big and fun to visit.
Daniel Surjawan;4 years ago;The 2nd time visit here and never bored. Very clean zoo that I ever seen with fresh air
Aiba Nanik;6 years ago;Toi spacious, already tired before finished this place, but this okace have a wide various animal. Maybe they need to consider provide some transportation to get around the place 😝, it is hard for me who have a big size …
Aryo Pri Utomo;2 years ago;Its a recreational complex in Batu, Malang. Its have 2 major places, Batu Secret Zoo and Animal Museum. Nice place for family and kids
Kristanto Wahyu;2 months ago;Very nice experience, need more cleaning in some spots. Hopefully it gets better and has more new spots.
Moch Alim Huda;3 years ago;Nice and fun place for kids,, zoo, play land and museum,, prepare for long walk,, or extra money for e-bike,, better bring stroller if u bring ur child,, it will takes day enjoy all the fun!!
Francisca Widya Puspitasari Sabarto;6 years ago;There are 3 areas in Jatim Park 2 : Batu Secret Zoo, Museum Satwa (Animal Museum), Eco Green Park. Awesome place for family trip. Many knowledge about animals shared here.
Putri Purnomo;5 years ago;Very drowded during holiday season but It was worthed! I've seen so many animal both local and international and couldnt be found in here
